name,taxid,rank
"Eggerthellaceae","1643826","family"
"Adlercreutzia","447020","genus"
"Adlercreutzia equolifaciens","446660","species"
"Actinopolymorphaceae","2805400","family"
"Actinopolymorpha","117156","genus"
"Actinopolymorpha singaporensis","117157","species"
"Advenella","290425","genus"
"Advenella kashmirensis","310575","species"
"Advenella mimigardefordensis","302406","species"
"Flavobacteriia","117743","class"
"Flavobacteriales","200644","order"
"Flavobacteriaceae","49546","family"
"Aequorivita","153265","genus"
"Planctomycetes","203682","phylum"
"Planctomycetia","203683","class"
"Pirellulales","2691354","order"
"Lacipirellulaceae","2691359","family"
"Aeoliella","2795781","genus"
"Aeoliella mucimassa","2527972","species"
"Bacillales","1385","order"
"Bacillaceae","186817","family"
"Aeribacillus","1055323","genus"
"Aeribacillus pallidus","33936","species"
"Aequorivita sublithincola","101385","species"
"Aerococcus","1375","genus"
"Aerococcus sanguinicola","119206","species"
"Aerococcus urinae","1376","species"
"Aerococcus urinaeequi","51665","species"
"Aerococcus viridans","1377","species"
"Nocardioidaceae","85015","family"
"Aeromicrobium","2040","genus"
"Aeromicrobium chenweiae","2079793","species"
"Aeromicrobium choanae","1736691","species"
"Aeromicrobium erythreum","2041","species"
"Aerococcus urinaehominis","128944","species"
"Aeromonadales","135624","order"
"Aeromonadaceae","84642","family"
"Aeromonas","642","genus"
"Aeromonas caviae","648","species"
"Aeromicrobium yanjiei","2662028","species"
"Aeromonas allosaccharophila","656","species"
"Aeromonas aquatica","558964","species"
"Aerococcus christensenii","87541","species"
"Aeromonas dhakensis","196024","species"
"Aeromonas encheleia","73010","species"
"Aeromonas hydrophila","644","species"
"Aeromonas jandaei","650","species"
"Aeromonas media","651","species"
"Aeromonas salmonicida","645","species"
"Aeromonas rivipollensis","948519","species"
"Aeromonas schubertii","652","species"
"Aeromonas simiae","218936","species"
"Aeromonas veronii","654","species"
"Hyphomicrobiales","356","order"
"Bradyrhizobiaceae","41294","family"
"Afipia","1033","genus"
"Afipia carboxidovorans","40137","species"
"Xanthomonadales","135614","order"
"Rhodanobacteraceae","1775411","family"
"Aerosticca","2707020","genus"
"Aerosticca soli","2010829","species"
"Aggregatibacter","416916","genus"
"Aggregatibacter actinomycetemcomitans","714","species"
"Aggregatibacter aphrophilus","732","species"
"Aggregatibacter segnis","739","species"
"Micrococcales","85006","order"
"Microbacteriaceae","85023","family"
"Agreia","110934","genus"
"Rhizobiaceae","82115","family"
"Agrobacterium","357","genus"
"Agrobacterium fabrum","1176649","species"
"Agrobacterium larrymoorei","160699","species"
"Agrobacterium rhizogenes","359","species"
"Agrobacterium tumefaciens","358","species"
"Agrobacterium rubi","28099","species"
"Agrobacterium vitis","373","species"
"Agrococcus","46352","genus"
"Agrococcus carbonis","684552","species"
"Agromyces","33877","genus"
"Agromyces flavus","589382","species"
"Agromyces protaetiae","2509455","species"
"Ahniella","2233801","genus"
"Ahniella affigens","2021234","species"
"Agromyces badenianii","2080742","species"
"Agromyces aureus","453304","species"
"Verrucomicrobia","74201","phylum"
"Verrucomicrobiae","203494","class"
"Verrucomicrobiales","48461","order"
"Akkermansiaceae","1647988","family"
"Akkermansia","239934","genus"
"Agrococcus jejuensis","399736","species"
"Akkermansia muciniphila","239935","species"
"Agromyces intestinalis","2592652","species"
"Akkermansiaceae bacterium","2562705","species"
"Alcaligenes","507","genus"
"Alcaligenes aquatilis","323284","species"
"Alcaligenes faecalis","511","species"
"Oceanospirillales","135619","order"
"Alcanivoracaceae","224372","family"
"Alcanivorax","59753","genus"
"Alcanivorax borkumensis","59754","species"
"Alcanivorax xenomutans","1094342","species"
"Algicoccus","2782172","genus"
"Algicoccus marinus","2163011","species"
"Cyclobacteriaceae","563798","family"
"Algoriphagus","246875","genus"
"Algoriphagus sanaruensis","1727163","species"
"Algibacter","261827","genus"
"Algibacter alginicilyticus","1736674","species"
"Epsilonproteobacteria","29547","class"
"Campylobacterales","213849","order"
"Campylobacteraceae","72294","family"
"Aliarcobacter","2321111","genus"
"Aliarcobacter butzleri","28197","species"
"Aliarcobacter cibarius","255507","species"
"Aliarcobacter cryaerophilus","28198","species"
"Alcanivorax dieselolei","285091","species"
"Alcanivorax pacificus","1306787","species"
"Alicycliphilus","201096","genus"
"Alicycliphilus denitrificans","179636","species"
"Aliarcobacter skirrowii","28200","species"
"Aliarcobacter lanthieri","1355374","species"
"Aliarcobacter faecis","1564138","species"
"Alicyclobacillaceae","186823","family"
"Alicyclobacillus","29330","genus"
"Alicyclobacillus acidocaldarius","405212","species"
"Alicyclobacillus ferrooxydans","471514","species"
"Planctomycetales","112","order"
"Planctomycetaceae","126","family"
"Alienimonas","2714737","genus"
"Alienimonas californiensis","2527989","species"
"Vibrionales","135623","order"
"Vibrionaceae","641","family"
"Aliivibrio","511678","genus"
"Aliivibrio fischeri","668","species"
"Aliivibrio salmonicida","40269","species"
"Bacteroidia","200643","class"
"Bacteroidales","171549","order"
"Rikenellaceae","171550","family"
"Alistipes","239759","genus"
"Alistipes finegoldii","214856","species"
"Alistipes communis","2585118","species"
"Alistipes indistinctus","626932","species"
"Alistipes onderdonkii","328813","species"
"Alkalibacter","274470","genus"
"Alkalihalobacillus","2675234","genus"
"Alkalihalobacillus clausii","79880","species"
"Alistipes shahii","328814","species"
"Alkalihalobacillus krulwichiae","199441","species"
"Alkalilimnicola","133193","genus"
"Alkalilimnicola ehrlichii","351052","species"
"Clostridiaceae","31979","family"
"Alkaliphilus","114627","genus"
"Alkaliphilus oremlandii","461876","species"
"Alistipes dispar","2585119","species"
"Alloactinosynnema","674734","genus"
"Alkalihalobacillus gibsonii","79881","species"
"Alkaliphilus metalliredigens","208226","species"
"Chromatiaceae","1046","family"
"Allochromatium","85072","genus"
"Allochromatium tepidum","553982","species"
"Thiotrichales","72273","order"
"Francisellaceae","34064","family"
"Allofrancisella","1869285","genus"
"Allofrancisella guangzhouensis","594679","species"
"Allochromatium vinosum","1049","species"
"Allofrancisella frigidaquae","1085644","species"
"Allofrancisella inopinata","1085647","species"
"Sphingomonadales","204457","order"
"Sphingomonadaceae","41297","family"
"Allosphingosinicella","2823232","genus"
"Allosphingosinicella indica","941907","species"
"Pelagibacterales","54526","order"
"Pelagibacteraceae","1655514","family"
"Marinilabiliales","1970189","order"
"Marinilabiliaceae","558415","family"
"Alkalitalea","1193324","genus"
"Alkalitalea saponilacus","889453","species"
"Erythrobacteraceae","335929","family"
"Altererythrobacter","361177","genus"
"Altererythrobacter epoxidivorans","361183","species"
"Altererythrobacter atlanticus","1267766","species"
"Alteromonadales","135622","order"
"Alteromonadaceae","72275","family"
"Alteromonas","226","genus"
"Alteromonas australica","589873","species"
"Alteromonas addita","287094","species"
"Prevotellaceae","171552","family"
"Alloprevotella","1283313","genus"
"Allokutzneria","1137960","genus"
"Allokutzneria albata","211114","species"
"Alteromonas mediterranea","314275","species"
"Alteromonas pelagimontana","1858656","species"
"Alteromonas stellipolaris","233316","species"
"Altibacter","1535231","genus"
"Neisseriales","206351","order"
"Neisseriaceae","481","family"
"Alysiella","194195","genus"
"Alysiella filiformis","194196","species"
"Clostridiales Family XIII. Incertae Sedis","543314","family"
"Aminipila","2060094","genus"
"Aminipila butyrica","433296","species"
"Amedibacterium","2749267","genus"
"Amedibacterium intestinale","2583452","species"
"Phyllobacteriaceae","69277","family"
"Aminobacter","31988","genus"
"Aminobacter aminovorans","83263","species"
"Amphibacillus","29331","genus"
"Amphibacillus xylanus","1449","species"
"Oceanospirillaceae","135620","family"
"Amphritea","515417","genus"
"Amphritea japonica","452627","species"
"Thermoanaerobacterales","68295","order"
"Thermoanaerobacteraceae","186814","family"
"Ammonifex","42837","genus"
"Ammonifex degensii","42838","species"
"Aminobacterium","81466","genus"
"Aminobacterium colombiense","81468","species"
"Amycolatopsis","1813","genus"
"Amycolatopsis japonica","208439","species"
"Amycolatopsis mediterranei","33910","species"
"Amycolatopsis albispora","1804986","species"
"Amycolatopsis methanolica","1814","species"
"Amycolatopsis orientalis","31958","species"
"Amycolatopsis keratiniphila","129921","species"
"Nostocales","1161","order"
"Nostocaceae","1162","family"
"Anabaena","1163","genus"
"Anabaena cylindrica","1165","species"
"Amylolactobacillus","2767876","genus"
"Amylolactobacillus amylophilus","1603","species"
"Aphanizomenonaceae","1892259","family"
"Anabaenopsis","110103","genus"
"Anabaenopsis circularis","109266","species"
"Anabaena sp. WA102","1647413","species"
"Tissierellia","1737404","class"
"Tissierellales","1737405","order"
"Peptoniphilaceae","1570339","family"
"Anaerococcus","165779","genus"
"Anaerococcus obesiensis","1287640","species"
"Anaerococcus prevotii","33034","species"
"Anaerococcus vaginalis","33037","species"
"Lachnospiraceae","186803","family"
"Anaerocolumna","1843210","genus"
"Anaerocolumna sedimenticola","2696063","species"
"Anabaenopsis elenkinii","156213","species"
"Anaerobutyricum","2569097","genus"
"Anaerobacillus","704093","genus"
"Anaerobacillus isosaccharinicus","1532552","species"
"Chloroflexi","200795","phylum"
"Anaerolineae","292625","class"
"Anaerolineales","292629","order"
"Anaerolineaceae","292628","family"
"Anaerolineaceae bacterium oral taxon 439","1889813","species"
"Anaerolinea","233189","genus"
"Anaerolinea sp. 'rifampicinis'","2710758","species"
"Anaerolinea thermophila","167964","species"
"Deltaproteobacteria","28221","class"
"Myxococcales","29","order"
"Anaeromyxobacteraceae","1524215","family"
"Anaeromyxobacter","161492","genus"
"Anaeromyxobacter dehalogenans","161493","species"
"Amycolatopsis lurida","31959","species"
"Phycisphaerae","666505","class"
"Sedimentisphaerales","2483366","order"
"Anaerohalosphaeraceae","2690158","family"
"Anaerohalosphaera","2690159","genus"
"Anaerohalosphaera lusitana","1936003","species"
"Anaerostipes","207244","genus"
"Anaerostipes caccae","105841","species"
"Anaerostipes rhamnosivorans","1229621","species"
"Rickettsiales","766","order"
"Anaplasmataceae","942","family"
"Anaplasma","768","genus"
"Anaplasma centrale","769","species"
"Anaerotignum","2039240","genus"
"Anaerotignum propionicum","28446","species"
"Anaerostipes hadrus","649756","species"
"Anaplasma marginale","770","species"
"Anaplasma ovis","142058","species"
"Pirellulaceae","2691357","family"
"Anatilimnocola","2807414","genus"
"Anatilimnocola aggregata","2528021","species"
"Xanthobacteraceae","335928","family"
"Ancylobacter","99","genus"
"Ancylobacter pratisalsi","1745854","species"
"Anoxybacillus","150247","genus"
"Anoxybacillus amylolyticus","294699","species"
"Anoxybacillus caldiproteolyticus","247480","species"
"Paenibacillaceae","186822","family"
"Aneurinibacillus","55079","genus"
"Aneurinibacillus soli","1500254","species"
"Anoxybacillus flavithermus","33934","species"
"Anoxybacillus gonensis","198467","species"
"Anoxybacillus kamchatkensis","196180","species"
"Antarcticibacterium","2058174","genus"
"Antarcticibacterium arcticum","2585771","species"
"Anoxybacter","1769008","genus"
"Anoxybacter fermentans","1323375","species"
"Sphingobacteriia","117747","class"
"Sphingobacteriales","200666","order"
"Sphingobacteriaceae","84566","family"
"Anseongella","1773450","genus"
"Anseongella ginsenosidimutans","496056","species"
"Rhodobacterales","204455","order"
"Rhodobacteraceae","31989","family"
"Antarctobacter","74032","genus"
"Antarctobacter heliothermus","74033","species"
"Aphanizomenon","1175","genus"
"Aphanizomenon flos-aquae","1176","species"
"Weeksellaceae","2762318","family"
"Apibacter","1778601","genus"
"Antarcticibacterium flavum","2058175","species"
"Apilactobacillus","2767877","genus"
"Apilactobacillus kunkeei","148814","species"
"Hyphomicrobiaceae","45401","family"
"Aquabacter","45402","genus"
"Legionellales","118969","order"
"Coxiellaceae","118968","family"
"Aquicella","254245","genus"
"Aquicella lusitana","254246","species"
"Apilactobacillus bombintestini","2419772","species"
"Aquicella siphonis","254247","species"
"Chromobacteriaceae","1499392","family"
"Aquaspirillum","187","genus"
"Aquificae","200783","phylum"
"Aquificales","32069","order"
"Aquificaceae","64898","family"
"Aquifex","2713","genus"
"Aquifex aeolicus","63363","species"
"Anaerocolumna cellulosilytica","433286","species"
"Aquiflexum","280472","genus"
"Aquiflexum balticum","280473","species"
"Aquimarina","290174","genus"
"Prolixibacteraceae","1471398","family"
"Aquipluma","2792393","genus"
"Aquipluma nitroreducens","2010828","species"
"Aquitalea","407217","genus"
"Aquitalea magnusonii","332411","species"
"Chitinophagia","1853228","class"
"Chitinophagales","1853229","order"
"Chitinophagaceae","563835","family"
"Arachidicoccus","1769012","genus"
"Arcanobacterium","28263","genus"
"Arcanobacterium haemolyticum","28264","species"
"Arachidicoccus ginsenosidivorans","496057","species"
"Arachidicoccus soli","2341117","species"
"Isosphaerales","2691356","order"
"Isosphaeraceae","1763524","family"
"Aquisphaera","1511635","genus"
"Aquisphaera giovannonii","406548","species"
"Arcanobacterium phocisimile","1302235","species"
"Aquabacterium","92793","genus"
"Aquabacterium olei","1296669","species"
"Arcobacter","28196","genus"
"Arcobacter aquimarinus","1315211","species"
"Arcobacter anaerophilus","877500","species"
"Archangiaceae","39","family"
"Archangium","47","genus"
"Archangium violaceum","83451","species"
"Arcanobacterium phocae","131112","species"
"Arcobacter cloacae","1054034","species"
"Arcobacter ellisii","913109","species"
"Arcobacter nitrofigilis","28199","species"
"Arcobacter defluvii","873191","species"
"Arcobacter suis","1278212","species"
"Archangium gephyra","48","species"
"Aliarcobacter thereius","544718","species"
"Aliarcobacter trophiarum","708186","species"
"Arcobacter venerupis","1054033","species"
"Cytophagaceae","89373","family"
"Arcticibacterium","2173039","genus"
"Arcticibacterium luteifluviistationis","1784714","species"
"Ardenticatenia","1382928","class"
"Ardenticatenales","1382929","order"
"Ardenticatenaceae","1382930","family"
"Ardenticatena","1382931","genus"
"Armatimonadetes","67819","phylum"
"Arenibacter","178469","genus"
"Arenibacter algicola","616991","species"
"Rhodocyclales","206389","order"
"Rhodocyclaceae","75787","family"
"Aromatoleum","551759","genus"
"Aromatoleum aromaticum","551760","species"
"Aromatoleum petrolei","76116","species"
"Aromatoleum bremense","76115","species"
"Intrasporangiaceae","85021","family"
"Arsenicicoccus","267408","genus"
"Arsenicicoccus sp. oral taxon 190","1658671","species"
"Enterobacterales","91347","order"
"Morganellaceae","1903414","family"
"Arsenophonus","637","genus"
"Micrococcaceae","1268","family"
"Arthrobacter","1663","genus"
"Arthrobacter agilis","37921","species"
"Arthrobacter alpinus","656366","species"
"Arthrobacter citreus","1670","species"
"Arthrobacter crystallopoietes","37928","species"
"Arthrobacter saudimassiliensis","1461584","species"
"Arthrobacter woluwensis","156980","species"
"Oscillatoriales","1150","order"
"Microcoleaceae","1892252","family"
"Arthrospira","35823","genus"
"Arthrospira platensis","118562","species"
"Asaia","91914","genus"
"Asaia bogorensis","91915","species"
"Thermotogae","200918","phylum"
"Mesoaciditogales","1769716","order"
"Mesoaciditogaceae","1769717","family"
"Athalassotoga","1769718","genus"
"Athalassotoga saccharophila","1441386","species"
"Caulobacterales","204458","order"
"Caulobacteraceae","76892","family"
"Asticcacaulis","76890","genus"
"Asticcacaulis excentricus","78587","species"
"Enterobacteriaceae","543","family"
"Atlantibacter","1903434","genus"
"Atlantibacter hermannii","565","species"
"Coriobacteriales","84999","order"
"Atopobiaceae","1643824","family"
"Lancefieldella","2767353","genus"
"Lancefieldella parvula","1382","species"
"Fortieaceae","1892264","family"
"Aulosira","212347","genus"
"Aulosira laxa","1541975","species"
"Aurantiacibacter","2800681","genus"
"Aurantiacibacter atlanticus","1648404","species"
"Aurantiacibacter gangjinensis","502682","species"
"Aurantimicrobium","1705353","genus"
"Aurantimicrobium minutum","708131","species"
"Aurantimonadaceae","255475","family"
"Aureimonas","414371","genus"
"Aureimonas altamirensis","370622","species"
"Aureimonas frigidaquae","424757","species"
"Auraticoccus","1278221","genus"
"Auraticoccus monumenti","675864","species"
"Avibacterium","292486","genus"
"Avibacterium paragallinarum","728","species"
"Aureliella","2795605","genus"
"Aureliella helgolandensis","2527968","species"
"Auritidibacter","1160973","genus"
"Zoogloeaceae","2008794","family"
"Azoarcus","12960","genus"
"Azoarcus communis","41977","species"
"Azoarcus pumilus","2067960","species"
"Azoarcus olearius","418699","species"
"Avibacterium volantium","762","species"
"Pukyongia","2831916","genus"
"Pukyongia salina","2094025","species"
"Azospira","146937","genus"
"Azospira oryzae","146939","species"
"Azorhizobium","6","genus"
"Azorhizobium caulinodans","7","species"
"Azospirillaceae","2829815","family"
"Azospirillum","191","genus"
"Azospirillum brasilense","192","species"
"Azospirillum baldaniorum","1064539","species"
"Azospirillum oryzae","286727","species"
"Azospirillum ramasamyi","682998","species"
"Azospirillum lipoferum","193","species"
"Azospira restricta","404405","species"
"Azospirillum thiophilum","528244","species"
"Pseudomonadaceae","135621","family"
"Azotobacter","352","genus"
"Azotobacter chroococcum","353","species"
"Azospirillum humicireducens","1226968","species"
"Azotobacter vinelandii","354","species"
"Bacillus","1386","genus"
"Bacillus aerophilus","293389","species"
"Bacillus albus","2026189","species"
"Bacillus altitudinis","293387","species"
"[Arcobacter] porcinus","1935204","species"
"Bacillus anthracis","1392","species"
"Bacillus atrophaeus","1452","species"
"Bacillus beveridgei","632773","species"
"Bacillus bombysepticus","658666","species"
"Bacillus cellulosilyticus","1413","species"
"Bacillus cereus","1396","species"
"Bacillus circulans","1397","species"
"Weizmannia","2817139","genus"
"Weizmannia coagulans","1398","species"
"Bacillus cohnii","33932","species"
"Bacillus cytotoxicus","580165","species"
"Bacillus freudenreichii","1783501","species"
"Bacillus dafuensis","1742359","species"
"Bacillus gobiensis","1441095","species"
"Bacillus halotolerans","260554","species"
"Bacillus horikoshii","79883","species"
"Alkalihalobacillus halodurans","86665","species"
"Bacillus infantis","324767","species"
"Alkalihalobacillus lehensis","300825","species"
"Bacillus licheniformis","1402","species"
"Bacillus inaquosorum","483913","species"
"Priestia","2800373","genus"
"Bacillus methanolicus","1471","species"
"Bacillus mobilis","2026190","species"
"Bacillus mojavensis","72360","species"
"Bacillus marisflavi","189381","species"
"Bacillus mycoides","1405","species"
"Cytobacillus","2675230","genus"
"Cytobacillus oceanisediminis","665099","species"
"Bacillus oleronius","38875","species"
"Bacillus pacificus","2026187","species"
"Bacillus paralicheniformis","1648923","species"
"Bacillus paranthracis","2026186","species"
"Bacillus pumilus","1408","species"
"Alkalihalobacillus pseudofirmus","79885","species"
"Bacillus safensis","561879","species"
"Bacillus siamensis","659243","species"
"Bacillus sonorensis","119858","species"
"Bacillus sp. (in: Bacteria)","1409","species"
"Bacillus smithii","1479","species"
"Bacillus spizizenii","96241","species"
"Bacillus subtilis","1423","species"
"Bacillus sporothermodurans","46224","species"
"Bacillus tequilensis","227866","species"
"Bacillus thuringiensis","1428","species"
"Caldibacillus","1276290","genus"
"Caldibacillus thermoamylovorans","35841","species"
