name,sysname,reaction
"3.2.1.106","Glc3Man9GlcNAc2-[protein] glucohydrolase (configuration-inverting)","Glc3Man9GlcNAc2-[protein] + H2O = Glc2Man9GlcNAc2-[protein] + beta-D-glucopyranose [RN:R05979]"
"2.4.1.38","UDP-alpha-D-galactose:N-acetyl-beta-D-glucosaminylglycopeptide 4-beta-galactosyltransferase","UDP-alpha-D-galactose + N-acetyl-beta-D-glucosaminylglycopeptide = UDP + beta-D-galactosyl-(1->4)-N-acetyl-beta-D-glucosaminylglycopeptide [RN:R04495]"
"3.2.1.97","glycopeptide-D-galactosyl-N-acetyl-alpha-D-galactosamine D-galactosyl-N-acetyl-galactosaminohydrolase","beta-D-galactosyl-(1->3)-N-acetyl-alpha-D-galactosaminyl-[glycoprotein]-L-serine/L-threonine + H2O = beta-D-galactosyl-(1->3)-N-acetyl-D-galactosamine + [glycoprotein]-L-serine/L-threonine [RN:R04527 R06140]"
"2.4.1.248","(1->6)-alpha-D-glucan:(1->6)-alpha-D-glucan 6-alpha-D-[1->6alpha-D-glucano]-transferase (cyclizing)","cyclizes part of a (1->6)-alpha-D-glucan chain by formation of a (1->6)-alpha-D-glucosidic bond"
"3.2.1.65","(2->6)-beta-D-fructan fructanohydrolase","Random hydrolysis of (2->6)-beta-D-fructofuranosidic linkages in (2->6)-beta-D-fructans (levans) containing more than 3 fructose units"
"5.4.99.11","sucrose glucosylmutase","sucrose = 6-O-alpha-D-glucopyranosyl-D-fructofuranose [RN:R00810 R06217]"
"2.4.1.260","dolichyl beta-D-mannosyl phosphate:alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-alpha-D-Man-(1->6)]-beta-D-Man-beta-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol 6-alpha-D-mannosyltransferase (configuration-inverting)","dolichyl beta-D-mannosyl phosphate + alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-alpha-D-Man-(1->6)]-beta-D-Man-beta-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol = alpha-D-Man-alpha-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->6)]-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol + dolichyl phosphate [RN:R06260]"
"2.4.1.31","3-beta-D-glucosyl-D-glucose:phosphate alpha-D-glucosyltransferase","3-beta-D-glucosyl-D-glucose + phosphate = D-glucose + alpha-D-glucose 1-phosphate [RN:R00953 R06058]"
"2.4.1.8","maltose:phosphate 1-beta-D-glucosyltransferase","maltose + phosphate = D-glucose + beta-D-glucose 1-phosphate [RN:R01555 R06040]"
"2.4.1.279","3-O-alpha-D-glucopyranosyl-D-glucopyranose:phosphate beta-D-glucosyltransferase","3-O-alpha-D-glucopyranosyl-D-glucopyranose + phosphate = D-glucose + beta-D-glucose 1-phosphate [RN:R09941]"
"3.5.2.17","5-hydroxyisourate amidohydrolase","5-hydroxyisourate + H2O = 5-hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate [RN:R06601]"
"3.2.1.146","beta-D-galactofuranoside hydrolase","Hydrolysis of terminal non-reducing beta-D-galactofuranosides, releasing galactose"
"3.2.1.174","rhamnogalacturonan oligosaccharide alpha-L-Rha-(1->4)-alpha-D-GalA rhamnohydrolase","Exohydrolysis of the alpha-L-Rha-(1->4)-alpha-D-GalA bond in rhamnogalacturonan oligosaccharides with initial inversion of configuration releasing beta-L-rhamnose from the non-reducing end of rhamnogalacturonan oligosaccharides."
"2.4.1.128","UDP-glucose:scopoletin O-beta-D-glucosyltransferase","UDP-glucose + scopoletin = UDP + scopolin [RN:R03594]"
"3.2.1.68","glycogen 6-alpha-D-glucanohydrolase","Hydrolysis of (1->6)-alpha-D-glucosidic branch linkages in glycogen, amylopectin and their beta-limit dextrins"
"3.2.1.14","(1->4)-2-acetamido-2-deoxy-beta-D-glucan glycanohydrolase","Random endo-hydrolysis of N-acetyl-beta-D-glucosaminide (1->4)-beta-linkages in chitin and chitodextrins"
"2.4.1.286","UDP-alpha-D-glucose:2',4,4',6'-tetrahydroxychalcone 4'-O-beta-D-glucosyltransferase","(1) UDP-alpha-D-glucose + naringenin chalcone = UDP + 2',4,4',6'-tetrahydroxychalcone 4'-O-beta-D-glucoside [RN:R08006];"
"3.5.1.25","N-acetyl-D-glucosamine-6-phosphate amidohydrolase","N-acetyl-D-glucosamine 6-phosphate + H2O = D-glucosamine 6-phosphate + acetate [RN:R02059]"
"1.14.99.53","chitin, hydrogen-donor:oxygen oxidoreductase (N-acetyl-beta-D-glucosaminyl C1-hydroxylating/C4-dehdyrogenating)","[(1->4)-N-acetyl-beta-D-glucosaminyl](m+n) + reduced acceptor + O2 = [(1->4)-N-acetyl-beta-D-glucosaminyl](m-1)-(1->4)-2-(acetylamino)-2-deoxy-D-glucono-1,5-lactone + [(1->4)-N-acetyl-beta-D-glucosaminyl]n + acceptor + H2O [RN:R11660]"
"3.2.1.49","alpha-N-acetyl-D-galactosaminide N-acetylgalactosaminohydrolase","Cleavage of non-reducing alpha-(1->3)-N-acetylgalactosamine residues from human blood group A and AB mucin glycoproteins, Forssman hapten and blood group A lacto series glycolipids"
"2.4.1.123","UDP-alpha-D-galactose:myo-inositol 3-alpha-D-galactosyltransferase","UDP-alpha-D-galactose + myo-inositol = UDP + O-alpha-D-galactosyl-(1->3)-1D-myo-inositol [RN:R01192 R06214]"
"3.2.1.57","pullulan 4-glucanohydrolase (isopanose-forming)","Hydrolysis of pullulan to isopanose (6-alpha-maltosylglucose)"
"2.4.2.40","UDP-D-xylose:zeatin O-beta-D-xylosyltransferase","UDP-D-xylose + zeatin = UDP + O-beta-D-xylosylzeatin [RN:R02119]"
"3.2.1.114","(1->3)-(1->6)-mannosyl-oligosaccharide alpha-D-mannohydrolase (configuration-retaining)","Man5GlcNAc3-[protein] + 2 H2O = Man3GlcNAc3-[protein] + 2 alpha-D-mannopyranose [RN:R05984]"
"2.4.1.247","beta-D-galactosyl-(1->4)-L-rhamnose:phosphate 1-alpha-D-galactosyltransferase","beta-D-galactosyl-(1->4)-L-rhamnose + phosphate = L-rhamnose + alpha-D-galactose 1-phosphate [RN:R09632]"
"2.4.1.302","dTDP-4-O-demethyl-beta-L-noviose:novobiocic acid 7-O-[4-O-demethyl-L-noviosyl]transferase","dTDP-4-O-demethyl-beta-L-noviose + novobiocic acid = dTDP + demethyldecarbamoyl novobiocin [RN:R06770]"
"2.4.1.213","ADP-alpha-D-glucose:sn-glycerol-3-phosphate 2-alpha-D-glucopyranosyltransferase","ADP-alpha-D-glucose + sn-glycerol 3-phosphate = 2-(alpha-D-glucopyranosyl)-sn-glycerol 3-phosphate + ADP [RN:R05328]"
"4.2.2.20","chondroitin-sulfate-ABC endolyase","Endolytic cleavage of (1->4)-beta-galactosaminic bonds between N-acetylgalactosamine and either D-glucuronic acid or L-iduronic acid to produce a mixture of Delta4-unsaturated oligosaccharides of different sizes that are ultimately degraded to Delta4-unsaturated tetra- and disaccharides"
"2.4.1.145","UDP-N-acetyl-alpha-D-glucosamine:N-acetyl-beta-D-glucosaminyl-(1->2)-alpha-D-mannosyl-(1->3)-beta-D-mannosyl-glycoprotein 4-beta-N-acetyl-D-glucosaminyltransferase (configuration-inverting)","UDP-N-acetyl-alpha-D-glucosamine + beta-D-GlcNAc-(1->2)-alpha-D-Man-(1->3)-[beta-D-GlcNAc-(1->2)-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-beta-D-GlcNAc-N-Asn-[protein] = UDP + beta-D-GlcNAc-(1->2)-[beta-D-GlcNAc-(1->4)]-alpha-D-Man-(1->3)-[beta-D-GlcNAc-(1->2)-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-beta-D-GlcNAc-N-Asn-[protein] [RN:R05987]"
"3.2.1.39","3-beta-D-glucan glucanohydrolase","Hydrolysis of (1->3)-beta-D-glucosidic linkages in (1->3)-beta-D-glucans"
"3.2.1.7","1-beta-D-fructan fructanohydrolase","Endohydrolysis of (2->1)-beta-D-fructosidic linkages in inulin"
"2.4.1.241","UDP-alpha-D-galactose:1,2-diacyl-3-O-(beta-D-galactosyl)-sn-glycerol 6-alpha-galactosyltransferase","UDP-alpha-D-galactose + 1,2-diacyl-3-O-(beta-D-galactosyl)-sn-glycerol = UDP + 1,2-diacyl-3-O-[alpha-D-galactosyl-(1->6)-beta-D-galactosyl]-sn-glycerol [RN:R04469]"
"3.2.1.161","7-[beta-D-apiofuranosyl-(1->6)-beta-D-glucopyranosyloxy]isoflavonoid beta-D-apiofuranosyl-(1->6)-D-glucohydrolase","7-[beta-D-apiofuranosyl-(1->6)-beta-D-glucopyranosyloxy]isoflavonoid + H2O = a 7-hydroxyisoflavonoid + beta-D-apiofuranosyl-(1->6)-D-glucose"
"3.2.1.51","alpha-L-fucoside fucohydrolase","an alpha-L-fucoside + H2O = L-fucose + an alcohol [RN:R03162]"
"3.2.1.100","4-beta-D-mannan mannobiohydrolase","Hydrolysis of (1->4)-beta-D-mannosidic linkages in (1->4)-beta-D-mannans, to remove successive mannobiose residues from the non-reducing chain ends"
"3.2.1.131","xylan 2-alpha-D-(4-O-methyl)glucuronohydrolase","Hydrolysis of (1->2)-alpha-D-(4-O-methyl)glucuronosyl links in the main chain of hardwood xylans"
"2.4.2.26","UDP-alpha-D-xylose:protein beta-D-xylosyltransferase (configuration-inverting)","UDP-alpha-D-xylose + [protein]-L-serine = UDP + [protein]-3-O-(beta-D-xylosyl)-L-serine [RN:R05925]"
"2.4.1.117","UDP-alpha-D-glucose:dolichyl-phosphate beta-D-glucosyltransferase (configuration-inverting)","UDP-alpha-D-glucose + dolichyl phosphate = UDP + dolichyl beta-D-glucosyl phosphate [RN:R01005]"
"2.4.1.12","UDP-alpha-D-glucose:(1->4)-beta-D-glucan 4-beta-D-glucosyltransferase (configuration-inverting)","UDP-alpha-D-glucose + [(1->4)-beta-D-glucosyl]n = UDP + [(1->4)-beta-D-glucosyl]n+1 [RN:R02889 R06023]"
"3.2.1.10","oligosaccharide 6-alpha-glucohydrolase","Hydrolysis of (1->6)-alpha-D-glucosidic linkages in some oligosaccharides produced from starch and glycogen by EC 3.2.1.1 (alpha-amylase), and in isomaltose"
"3.2.1.205","isomaltose 6-alpha-glucohydrolase (configuration-inverting)","isomaltose + H2O = beta-D-glucose + D-glucose [RN:R11791]"
"2.4.1.26","UDP-glucose:DNA alpha-D-glucosyltransferase","Transfers an alpha-D-glucosyl residue from UDP-glucose to an hydroxymethylcytosine residue in DNA"
"3.2.1.126","coniferin beta-D-glucosidase","coniferin + H2O = D-glucose + coniferol [RN:R02595]"
"3.2.1.111","3-alpha-L-fucosyl-N-acetylglucosaminyl-glycoprotein fucohydrolase","Hydrolysis of (1->3)-linkages between alpha-L-fucose and N-acetylglucosamine residues in glycoproteins"
"3.2.1.21","beta-D-glucoside glucohydrolase","Hydrolysis of terminal, non-reducing beta-D-glucosyl residues with release of beta-D-glucose"
"3.2.1.164","endo-beta-(1->6)-galactanase","Endohydrolysis of (1->6)-beta-D-galactosidic linkages in arabinogalactan proteins and (1->3):(1->6)-beta-galactans to yield galactose and (1->6)-beta-galactobiose as the final products"
"2.4.1.83","GDP-mannose:dolichyl-phosphate beta-D-mannosyltransferase","GDP-alpha-D-mannose + dolichyl phosphate = GDP + dolichyl beta-D-mannosyl phosphate [RN:R01009]"
"2.4.1.100","(2->1)-beta-D-fructan:(2->1)-beta-D-fructan 1-beta-D-fructosyltransferase","[beta-D-fructosyl-(2->1)-]m + [beta-D-fructosyl-(2->1)-]n = [beta-D-fructosyl-(2->1)-]m-1 + [beta-D-fructosyl-(2->1)-]n+1 [RN:R04193 R06183]"
"3.2.1.208","2-O-(alpha-D-glucopyranosyl)-D-glycerate D-glucohydrolase","2-O-(alpha-D-glucopyranosyl)-D-glycerate + H2O = D-glucopyranose + D-glycerate [RN:R12250]"
"4.2.2.24","alpha-L-rhamnopyranosyl-(1->4)-alpha-D-galactopyranosyluronate exolyase","Exotype eliminative cleavage of alpha-L-rhamnopyranosyl-(1->4)-alpha-D-galactopyranosyluronic acid bonds of rhamnogalacturonan I oligosaccharides containing alpha-L-rhamnopyranose at the reducing end and 4-deoxy-4,5-unsaturated D-galactopyranosyluronic acid at the non-reducing end. The products are the disaccharide 2-O-(4-deoxy-beta-L-threo-hex-4-enopyranuronosyl)-alpha-L-rhamnopyranose and the shortened rhamnogalacturonan oligosaccharide containing one 4-deoxy-4,5-unsaturated D-galactopyranosyluronic acid at the non-reducing end."
"3.2.1.132","chitosan N-acetylglucosaminohydrolase","Endohydrolysis of beta-(1->4)-linkages between D-glucosamine residues in a partly acetylated chitosan"
"3.2.1.48","sucrose-alpha-D-glucohydrolase","Hydrolysis of sucrose and maltose by an alpha-D-glucosidase-type action [RN:R00801 R06087]"
"2.4.1.15","UDP-alpha-D-glucose:D-glucose-6-phosphate 1-alpha-D-glucosyltransferase (configuration-retaining)","UDP-alpha-D-glucose + D-glucose 6-phosphate = UDP + alpha,alpha-trehalose 6-phosphate [RN:R00836 R06043]"
"3.2.1.8","4-beta-D-xylan xylanohydrolase","Endohydrolysis of (1->4)-beta-D-xylosidic linkages in xylans"
"3.2.1.86","6-phospho-beta-D-glucosyl-(1->4)-D-glucose glucohydrolase","6-phospho-beta-D-glucosyl-(1->4)-D-glucose + H2O = D-glucose + D-glucose 6-phosphate [RN:R00839 R06112]"
"2.4.1.223","UDP-N-acetyl-alpha-D-glucosamine:[protein]-3-O-(beta-D-GlcA-(1->3)-beta-D-Gal-(1->3)-beta-D-Gal-(1->4)-beta-D-Xyl)-L-serine 4IV-alpha-N-acetyl-D-glucosaminyltransferase (configuration-retaining)","UDP-N-acetyl-alpha-D-glucosamine + [protein]-3-O-(beta-D-GlcA-(1->3)-beta-D-Gal-(1->3)-beta-D-Gal-(1->4)-beta-D-Xyl)-L-serine = UDP + [protein]-3-O-(alpha-D-GlcNAc-(1->4)-beta-D-GlcA-(1->3)-beta-D-Gal-(1->3)-beta-D-Gal-(1->4)-beta-D-Xyl)-L-serine [RN:R05930 R07397]"
"3.2.1.129","polysialoside (2->8)-alpha-sialosylhydrolase","Endohydrolysis of (2->8)-alpha-sialosyl linkages in oligo- or poly(sialic) acids"
"2.4.1.281","4-O-beta-D-mannopyranosyl-D-glucopyranose:phosphate alpha-D-mannosyltransferase","4-O-beta-D-mannopyranosyl-D-glucopyranose + phosphate = D-glucose + alpha-D-mannose 1-phosphate [RN:R09943]"
"1.6.5.6","NADPH:p-benzoquinone oxidoreductase","NADPH + H+ + p-benzoquinone = NADP+ + hydroquinone [RN:R05244]"
"2.4.1.207","xyloglucan:xyloglucan xyloglucanotransferase","breaks a beta-(1->4) bond in the backbone of a xyloglucan and transfers the xyloglucanyl segment on to O-4 of the non-reducing terminal glucose residue of an acceptor, which can be a xyloglucan or an oligosaccharide of xyloglucan"
"2.4.1.58","UDP-glucose:lipopolysaccharide glucosyltransferase","UDP-glucose + lipopolysaccharide = UDP + D-glucosyl-lipopolysaccharide [RN:R01994]"
"2.4.1.242","NDP-glucose:(1->4)-alpha-D-glucan 4-alpha-D-glucosyltransferase","NDP-glucose + [(1->4)-alpha-D-glucosyl]n = NDP + [(1->4)-alpha-D-glucosyl]n+1 [RN:R07261]"
"3.5.1.89","6-(N-acetyl-alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol acetylhydrolase","6-(N-acetyl-alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol + H2O = 6-(alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol + acetate [RN:R03482 R05917]"
"3.2.1.61","(1->3)-(1->4)-alpha-D-glucan 4-glucanohydrolase","Endohydrolysis of (1->4)-alpha-D-glucosidic linkages in alpha-D-glucans containing both (1->3)- and (1->4)-bonds"
"3.2.1.139","alpha-D-glucosiduronate glucuronohydrolase","an alpha-D-glucuronoside + H2O = an alcohol + D-glucuronate [RN:R01480]"
"3.5.1.115","mycothiol S-conjugate 1D-myo-inositol 2-amino-2-deoxy-alpha-D-glucopyranosyl-hydrolase","a mycothiol S-conjugate + H2O = an N-acetyl L-cysteine-S-conjugate + 1-O-(2-amino-2-deoxy-alpha-D-glucopyranosyl)-1D-myo-inositol [RN:R10617]"
"3.2.1.177","alpha-D-xyloside xylohydrolase","Hydrolysis of terminal, non-reducing alpha-D-xylose residues with release of alpha-D-xylose."
"3.2.1.71","2-beta-D-glucan glucanohydrolase","Random hydrolysis of (1->2)-glucosidic linkages in (1->2)-beta-D-glucans"
"2.4.1.214","GDP-beta-L-fucose:N4-{beta-D-GlcNAc-(1->2)-alpha-D-Man-(1->3)-[beta-D-GlcNAc-(1->2)-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-beta-D-GlcNAc}-L-asparaginyl-[protein] 3-alpha-L-fucosyltransferase (configuration-retaining)","GDP-beta-L-fucose + N4-{beta-D-GlcNAc-(1->2)-alpha-D-Man-(1->3)-[beta-D-GlcNAc-(1->2)-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-beta-D-GlcNAc}-L-asparaginyl-[protein] = GDP + N4-{beta-D-GlcNAc-(1->2)-alpha-D-Man-(1->3)-[beta-D-GlcNAc-(1->2)-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-[alpha-L-Fuc-(1->3)]-beta-D-GlcNAc}-L-asparaginyl-[protein] [RN:R06015]"
"1.1.3.7","aryl-alcohol:oxygen oxidoreductase","an aromatic primary alcohol + O2 = an aromatic aldehyde + H2O2 [RN:R01491]"
