name,taxid,rank
"Acidipropionibacterium acidipropionici CGMCC 1.2230","-1","genome"
"Achromobacter xylosoxidans GN050","-1","genome"
"Acidaminococcus intestini","187327","species"
"Acidaminococcus intestini RyC-MR95","568816","genome"
"Acidipropionibacterium acidipropionici FAM 19036","-1","genome"
"Acidipropionibacterium acidipropionici WGS7","-1","genome"
"Acidipropionibacterium acidipropionici WSH1105","-1","genome"
"Acidipropionibacterium jensenii","1749","species"
"Acidipropionibacterium jensenii JS279","-1","genome"
"Acidipropionibacterium jensenii FAM 19038","-1","genome"
"Acidipropionibacterium jensenii JS280","-1","genome"
"Acidipropionibacterium jensenii NCTC13652","-1","genome"
"Acidiphilium cryptum","524","species"
"Acidiphilium cryptum JF-5","349163","genome"
"Acidithiobacillia","1807140","class"
"Acidithiobacillales","225057","order"
"Acidithiobacillaceae","225058","family"
"Acidithiobacillus","119977","genus"
"Acidithiobacillus caldus","33059","species"
"Acidithiobacillus caldus MTH-04","-1","genome"
"Acidithiobacillus caldus SM-1","990288","genome"
"Acidithiobacillus caldus ATCC 51756","637389","genome"
"Acidobacteriia","204432","class"
"Acidobacteriales","204433","order"
"Acidobacteriaceae","204434","family"
"Acidisarcina","2608728","genus"
"Acidisarcina polymorpha","2211140","species"
"Acidisarcina polymorpha SBC82","-1","genome"
"Acidithiobacillus ferridurans","1232575","species"
"Acidithiobacillus ferridurans JCM 18981","-1","genome"
"Acidithiobacillus ferrivorans","160808","genome"
"Acidithiobacillus ferrivorans SS3","743299","genome"
"Acidipropionibacterium virtanenii","2057246","species"
"Acidipropionibacterium virtanenii JS278","-1","genome"
"Acidithiobacillus ferrooxidans","920","species"
"Acidithiobacillus ferrooxidans ATCC 23270","243159","genome"
"Acidithiobacillus ferrivorans XJFY6S-08","-1","genome"
"Acidithiobacillus ferrooxidans YNTRS-40","-1","genome"
"Acidithiobacillus sp. 'AMD consortium'","2614801","species"
"Acidithiobacillus sp. AMD consortium","-1","genome"
"Acidithiobacillus ferrooxidans ATCC 53993","380394","genome"
"Acidithiobacillus thiooxidans","930","species"
"Acidithiobacillus thiooxidans ATCC 19377","637390","genome"
"Acidobacteria bacterium Mor1","1660251","genome"
"Acidobacterium","33973","genus"
"Acidobacterium capsulatum","33075","species"
"Acidobacterium capsulatum ATCC 51196","240015","genome"
"Acidothermales","1643683","order"
"Acidothermaceae","85032","family"
"Acidothermus","28048","genus"
"Acidothermus cellulolyticus","28049","species"
"Acidothermus cellulolyticus 11B","351607","genome"
"Comamonadaceae","80864","family"
"Acidovorax","12916","genus"
"Acidovorax antarcticus","2743470","species"
"Acidovorax antarcticus 16-35-5","-1","genome"
"Acidovorax avenae","80867","species"
"Acidovorax avenae subsp. avenae AA78_5","-1","genome"
"Acidovorax avenae subsp. avenae AA81_1","-1","genome"
"Acidobacterium sp. 4Y35","2763107","genome"
"Acidovorax avenae subsp. avenae AA99_2","-1","genome"
"Acidovorax avenae subsp. avenae ATCC 19860","643561","genome"
"Acidovorax avenae subsp. avenae INDB2","-1","genome"
"Acidovorax avenae subsp. avenae COLB1","-1","genome"
"Acidovorax avenae subsp. avenae INV","-1","genome"
"Acidovorax avenae subsp. avenae MDB1","-1","genome"
"Acidovorax avenae subsp. avenae MOR","-1","genome"
"Acidovorax avenae subsp. avenae NCT3","-1","genome"
"Acidovorax avenae subsp. avenae QH1","-1","genome"
"Acidovorax avenae subsp. avenae KL3","-1","genome"
"Acidovorax avenae subsp. avenae MD5","-1","genome"
"Acidovorax carolinensis","553814","species"
"Acidovorax carolinensis NA3","-1","genome"
"Acidovorax avenae subsp. avenae SH7","-1","genome"
"Acidovorax cattleyae","80868","species"
"Acidovorax cattleyae CAT98_1","-1","genome"
"Acidovorax citrulli","80869","species"
"Acidovorax citrulli AAC00-1","397945","genome"
"Acidovorax citrulli KACC17005","-1","genome"
"Acidovorax avenae subsp. avenae Sa2","-1","genome"
"Acidovorax ebreus","721785","species"
"Acidovorax ebreus TPSY","535289","genome"
"Acidovorax monticola","1926868","species"
"Acidovorax monticola KACC 19171","-1","genome"
"Acidovorax sp. 1608163","2478662","genome"
"Acidovorax sp. HDW3","2714923","genome"
"Acidovorax sp. JS42","232721","genome"
"Acidovorax sp. JMULE5","2518343","genome"
"Acidovorax sp. KKS102","358220","genome"
"Pseudomonadales","72274","order"
"Moraxellaceae","468","family"
"Acinetobacter","469","genus"
"Acinetobacter baumannii","470","species"
"Acinetobacter baumannii 10324","-1","genome"
"Acinetobacter baumannii 11510","-1","genome"
"Acidovorax sp. RAC01","1842533","genome"
"Acinetobacter baumannii 11A1213CRGN008","-1","genome"
"Acinetobacter baumannii 11A1213CRGN064","-1","genome"
"Acinetobacter baumannii 11A1314CRGN089","-1","genome"
"Acinetobacter baumannii 11A1213CRGN055","-1","genome"
"Acidovorax citrulli M6","-1","genome"
"Acinetobacter baumannii 15A34","-1","genome"
"Acinetobacter baumannii 15A5","-1","genome"
"Acinetobacter baumannii 11A14CRGN003","-1","genome"
"Acinetobacter baumannii 11W359501","-1","genome"
"Acinetobacter baumannii 1656-2","696749","genome"
"Acinetobacter baumannii 2008S11-069","-1","genome"
"Acinetobacter baumannii 3207","-1","genome"
"Acinetobacter baumannii 3027STDY5784958","-1","genome"
"Acinetobacter baumannii 6200","-1","genome"
"Acidovorax avenae subsp. avenae QHB1","-1","genome"
"Acinetobacter baumannii 6507","-1","genome"
"Acinetobacter baumannii 5457","-1","genome"
"Acinetobacter baumannii 9201","-1","genome"
"Acinetobacter baumannii 7835","-1","genome"
"Acinetobacter baumannii 7847","-1","genome"
"Acinetobacter baumannii 11A1314CRGN088","-1","genome"
"Acinetobacter baumannii A1","-1","genome"
"Acinetobacter baumannii 810CP","-1","genome"
"Acinetobacter baumannii A1429","-1","genome"
"Acinetobacter baumannii A118","927193","genome"
"Acinetobacter baumannii A1296","-1","genome"
"Acinetobacter baumannii A52","-1","genome"
"Acinetobacter baumannii Ab-B004d-c","-1","genome"
"Acinetobacter baumannii A85","-1","genome"
"Acinetobacter baumannii 7804","-1","genome"
"Acinetobacter baumannii Ab-C63","-1","genome"
"Acinetobacter baumannii Ab-C102","-1","genome"
"Acinetobacter baumannii A388","-1","genome"
"Acinetobacter baumannii AB0057","480119","genome"
"Acinetobacter baumannii AB030","-1","genome"
"Acinetobacter baumannii Ab-D10a-a","-1","genome"
"Acinetobacter baumannii AB031","-1","genome"
"Acinetobacter baumannii A320 (RUH134)","-1","genome"
"Acinetobacter baumannii AB043","-1","genome"
"Acinetobacter baumannii AB046","-1","genome"
"Acinetobacter baumannii AB047","-1","genome"
"Acinetobacter baumannii AB048","-1","genome"
"Acinetobacter baumannii Ab04-mff","-1","genome"
"Acinetobacter baumannii Ab421_GEIH-2010","-1","genome"
"Acinetobacter baumannii AB307-0294","557600","genome"
"Acinetobacter baumannii AB34299","-1","genome"
"Acinetobacter baumannii AB053","-1","genome"
"Acinetobacter baumannii Ab4977","-1","genome"
"Acinetobacter baumannii Ab4653","-1","genome"
"Acinetobacter baumannii ab736","-1","genome"
"Acinetobacter baumannii AB5075-UW","-1","genome"
"Acinetobacter baumannii AB042","-1","genome"
"Acinetobacter baumannii Ab4568","-1","genome"
"Acinetobacter baumannii AbCAN2","-1","genome"
"Acinetobacter baumannii ABF9692","-1","genome"
"Acinetobacter baumannii ABCR01","-1","genome"
"Acinetobacter baumannii AbH12O-A2","-1","genome"
"Acinetobacter baumannii AbPK1","-1","genome"
"Acinetobacter baumannii ABNIH28","-1","genome"
"Acinetobacter baumannii ABUH796","-1","genome"
"Acinetobacter baumannii ABUH773","-1","genome"
"Acinetobacter baumannii AC12","1198108","genome"
"Acinetobacter baumannii ABUH763","-1","genome"
"Acinetobacter baumannii ABUH793","-1","genome"
"Acinetobacter baumannii AC29","-1","genome"
"Acinetobacter baumannii ACN21","-1","genome"
"Acinetobacter baumannii AF-401","-1","genome"
"Acinetobacter baumannii AR_0056","-1","genome"
"Acinetobacter baumannii AR_0052","-1","genome"
"Acinetobacter baumannii AR_0070","-1","genome"
"Acinetobacter baumannii AR_0078","-1","genome"
"Acinetobacter baumannii AF-673","-1","genome"
"Acinetobacter baumannii ACICU","405416","genome"
"Acinetobacter baumannii AC30","1224747","genome"
"Acinetobacter baumannii AR_0101","-1","genome"
"Acinetobacter baumannii AR_0088","-1","genome"
"Acinetobacter baumannii AR_0102","-1","genome"
"Acinetobacter baumannii AR_0083","-1","genome"
"Acinetobacter baumannii ATCC 17978","400667","genome"
"Acinetobacter baumannii ATCC 17978-mff","-1","genome"
"Acinetobacter baumannii ATCC 19606","575584","genome"
"Acinetobacter baumannii AYE","509173","genome"
"Acinetobacter baumannii AYP-A2","-1","genome"
"Acinetobacter baumannii BJAB07104","1096995","genome"
"Acinetobacter baumannii BJAB0715","1096996","genome"
"Acinetobacter baumannii B8300","-1","genome"
"Acinetobacter baumannii B8342","-1","genome"
"Acinetobacter baumannii AR_0063","-1","genome"
"Acinetobacter baumannii B11911","-1","genome"
"Acinetobacter baumannii CBA7","-1","genome"
"Acinetobacter baumannii CIAT758","-1","genome"
"Acinetobacter baumannii CA-17","-1","genome"
"Acinetobacter baumannii CMC-CR-MDR-Ab4","-1","genome"
"Acinetobacter baumannii CMC-CR-MDR-Ab66","-1","genome"
"Acinetobacter baumannii CUVET-MIC596","-1","genome"
"Acinetobacter baumannii CMC-MDR-Ab59","-1","genome"
"Acinetobacter baumannii C25","-1","genome"
"Acinetobacter baumannii BJAB0868","1096997","genome"
"Acinetobacter baumannii ATCC BAA-1790","-1","genome"
"Acinetobacter baumannii D1279779","945556","genome"
"Acinetobacter baumannii DT-Ab007","-1","genome"
"Acinetobacter baumannii CAM180-1","-1","genome"
"Acinetobacter baumannii DA33098","-1","genome"
"Acinetobacter baumannii DT-Ab003","-1","genome"
"Acinetobacter baumannii DA33382","-1","genome"
"Acinetobacter baumannii DU202","1370126","genome"
"Acinetobacter baumannii DT-Ab022","-1","genome"
"Acinetobacter baumannii DT-Ab020","-1","genome"
"Acinetobacter baumannii E47","-1","genome"
"Acinetobacter baumannii DS002","-1","genome"
"Acinetobacter baumannii EC","-1","genome"
"Acinetobacter baumannii FDAARGOS_1036","-1","genome"
"Acinetobacter baumannii FDAARGOS_540","-1","genome"
"Acinetobacter baumannii FDAARGOS_533","-1","genome"
"Acinetobacter baumannii IOMTU 433","-1","genome"
"Acinetobacter baumannii J9","-1","genome"
"Acinetobacter baumannii DT-Ab057","-1","genome"
"Acinetobacter baumannii HRAB-85","-1","genome"
"Acinetobacter baumannii K09-14","-1","genome"
"Acinetobacter baumannii JBA13","-1","genome"
"Acinetobacter baumannii KAB01","-1","genome"
"Acinetobacter baumannii KAB02","-1","genome"
"Acinetobacter baumannii KAB03","-1","genome"
"Acinetobacter baumannii KAB04","-1","genome"
"Acinetobacter baumannii KAB05","-1","genome"
"Acinetobacter baumannii KAB06","-1","genome"
"Acinetobacter baumannii D36","-1","genome"
"Acinetobacter baumannii KAB08","-1","genome"
"Acinetobacter baumannii KAB07","-1","genome"
"Acinetobacter baumannii EH","-1","genome"
"Acinetobacter baumannii LAC-4","1455315","genome"
"Acinetobacter baumannii KBN10P02143","-1","genome"
"Acinetobacter baumannii LAC4","-1","genome"
"Acinetobacter baumannii MDR-CQ","-1","genome"
"Acinetobacter baumannii MDR-UNC","-1","genome"
"Acinetobacter baumannii HWBA8","-1","genome"
"Acinetobacter baumannii MDR-ZJ06","497978","genome"
"Acinetobacter baumannii MRSN15313","-1","genome"
"Acinetobacter baumannii MS14413","-1","genome"
"Acinetobacter baumannii MDR-TJ","889738","genome"
"Acinetobacter baumannii N13-03449","-1","genome"
"Acinetobacter baumannii NCGM 237","1401639","genome"
"Acinetobacter baumannii NCIMB 8209","-1","genome"
"Acinetobacter baumannii NU-60","-1","genome"
"Acinetobacter baumannii PB364","-1","genome"
"Acinetobacter baumannii PG20180064","-1","genome"
"Acinetobacter baumannii NCTC13421","-1","genome"
"Acinetobacter baumannii PKAB07","1413216","genome"
"Acinetobacter baumannii PM192696","-1","genome"
"Acinetobacter baumannii PM193665","-1","genome"
"Acinetobacter baumannii PM194188","-1","genome"
"Acinetobacter baumannii PM1912235","-1","genome"
"Acinetobacter baumannii ORAB01","-1","genome"
"Acinetobacter baumannii SAA14","-1","genome"
"Acinetobacter baumannii SDF","509170","genome"
"Acinetobacter baumannii PR07","1279013","genome"
"Acinetobacter baumannii S1; AB1A2","-1","genome"
"Acinetobacter baumannii PM194229","-1","genome"
"Acinetobacter baumannii P7774","-1","genome"
"Acinetobacter baumannii SSA6","-1","genome"
"Acinetobacter baumannii TG22182","-1","genome"
"Acinetobacter baumannii SSMA17","-1","genome"
"Acinetobacter baumannii TCDC-AB0715","980514","genome"
"Acinetobacter baumannii SP304","-1","genome"
"Acinetobacter baumannii TG31986","-1","genome"
"Acinetobacter baumannii TG60155","-1","genome"
"Acinetobacter baumannii TP1","-1","genome"
"Acinetobacter baumannii TG29392","-1","genome"
"Acinetobacter baumannii UPAB1","-1","genome"
"Acinetobacter baumannii VB11737","-1","genome"
"Acinetobacter baumannii USA15","-1","genome"
"Acinetobacter baumannii USA2","-1","genome"
"Acinetobacter baumannii TYTH-1","1100841","genome"
"Acinetobacter baumannii VB1190","-1","genome"
"Acinetobacter baumannii VB2181","-1","genome"
"Acinetobacter baumannii VB16141","-1","genome"
"Acinetobacter baumannii SSA12","-1","genome"
"Acinetobacter baumannii VB23193","-1","genome"
"Acinetobacter baumannii VB2200","-1","genome"
"Acinetobacter baumannii VB33071","-1","genome"
"Acinetobacter baumannii VB2486","-1","genome"
"Acinetobacter baumannii VB35179","-1","genome"
"Acinetobacter baumannii TG31302","-1","genome"
"Acinetobacter baumannii VB31459","-1","genome"
"Acinetobacter baumannii VB35575","-1","genome"
"Acinetobacter baumannii VB473","-1","genome"
"Acinetobacter baumannii VB723","-1","genome"
"Acinetobacter baumannii VB7036","-1","genome"
"Acinetobacter baumannii VB2139","-1","genome"
"Acinetobacter baumannii WCHAB005133","-1","genome"
"Acinetobacter baumannii WCHAB005078","-1","genome"
"Acinetobacter baumannii VB2107","-1","genome"
"Acinetobacter baumannii VB82","-1","genome"
"Acinetobacter baumannii VB958","-1","genome"
"Acinetobacter baumannii XH731","-1","genome"
"Acinetobacter baumannii XH386","-1","genome"
"Acinetobacter baumannii WKA02","-1","genome"
"Acinetobacter baumannii VB35435","-1","genome"
"Acinetobacter baumannii WPB103","-1","genome"
"Acinetobacter baumannii XDR-BJ83","-1","genome"
"Acinetobacter baumannii XH856","-1","genome"
"Acinetobacter baumannii XH858","-1","genome"
"Acinetobacter baumannii XH859","-1","genome"
"Acinetobacter baumannii XH860","-1","genome"
"Acinetobacter baumannii XH906","-1","genome"
"Acinetobacter baumannii XL380","-1","genome"
"Acinetobacter baumannii WM99c","945555","genome"
"Acinetobacter baumannii ZS3","-1","genome"
"Acinetobacter baumannii ZW85-1","1400867","genome"
"Acinetobacter calcoaceticus","471","species"
"Acinetobacter calcoaceticus CA16","-1","genome"
"Acinetobacter calcoaceticus NCTC7364","-1","genome"
"Acinetobacter baumannii XH731 (14 days)","-1","genome"
"Acinetobacter baumannii YU-R612","-1","genome"
"Acinetobacter baumannii XH857","-1","genome"
"Acinetobacter cumulans","2136182","species"
"Acinetobacter cumulans WCHAc060092","-1","genome"
"Acinetobacter chinensis","2004650","species"
"Acinetobacter chinensis WCHAc010005","-1","genome"
"Acinetobacter dispersus","70348","species"
"Acinetobacter dispersus NCCP 16014","-1","genome"
"Acinetobacter equi","1324350","species"
"Acinetobacter equi 114","-1","genome"
"Acinetobacter defluvii","1871111","species"
"Acinetobacter defluvii WCHA30","-1","genome"
"Acinetobacter haemolyticus","29430","species"
"Acinetobacter haemolyticus 11616","-1","genome"
"Acinetobacter guillouiae","106649","species"
"Acinetobacter guillouiae NBRC 110550","-1","genome"
"Acinetobacter bereziniae","106648","species"
"Acinetobacter bereziniae XH901","-1","genome"
"Acinetobacter baylyi","202950","species"
"Acinetobacter baylyi ADP1","62977","genome"
"Acinetobacter gyllenbergii","134534","species"
"Acinetobacter gyllenbergii NCCP 16015","-1","genome"
"Acinetobacter calcoaceticus FDAARGOS_1218","-1","genome"
"Acinetobacter haemolyticus 2126ch","-1","genome"
"Acinetobacter haemolyticus 5227","-1","genome"
"Acinetobacter haemolyticus AN3","-1","genome"
"Acinetobacter haemolyticus AN4","-1","genome"
"Acinetobacter haemolyticus AN43","-1","genome"
"Acinetobacter haemolyticus AN54","-1","genome"
"Acinetobacter haemolyticus XH900","-1","genome"
"Acinetobacter haemolyticus sz1652","-1","genome"
"Acinetobacter indicus","756892","species"
"Acinetobacter indicus 80-1-2","-1","genome"
"Acinetobacter haemolyticus TJR01","-1","genome"
"Acinetobacter haemolyticus TJS01","-1","genome"
"Acinetobacter haemolyticus INNSZ174","-1","genome"
"Acinetobacter haemolyticus AN59","-1","genome"
"Acinetobacter indicus C15_T","-1","genome"
"Acinetobacter indicus CMG3-2","-1","genome"
"Acinetobacter indicus HY20","-1","genome"
"Acinetobacter indicus GXNN62X4","-1","genome"
"Acinetobacter indicus B18","-1","genome"
"Acinetobacter indicus FS42-2","-1","genome"
"Acinetobacter indicus 94-2","-1","genome"
"Acinetobacter indicus Q186-3_T","-1","genome"
"Acinetobacter indicus LYS68A","-1","genome"
"Acinetobacter indicus yy_1","-1","genome"
"Acinetobacter johnsonii","40214","species"
"Acinetobacter johnsonii Acsw19","-1","genome"
"Acinetobacter johnsonii LXL_C1","-1","genome"
"Acinetobacter johnsonii M19","-1","genome"
"Acinetobacter johnsonii IC001","-1","genome"
"Acinetobacter johnsonii XBB1","1242245","genome"
"Acinetobacter johnsonii XY27","-1","genome"
"Acinetobacter junii","40215","species"
"Acinetobacter junii CAM121","-1","genome"
"Acinetobacter junii lzh-X15","-1","genome"
"Acinetobacter junii 65","-1","genome"
"Acinetobacter johnsonii E10B","-1","genome"
"Acinetobacter lactucae","1785128","species"
"Acinetobacter lactucae OTEC-02","-1","genome"
"Acinetobacter junii WCHAJ59","-1","genome"
"Acinetobacter indicus SGAir0564","-1","genome"
"Acinetobacter lanii","2715163","species"
"Acinetobacter lanii 185","-1","genome"
"Acinetobacter lwoffii","28090","species"
"Acinetobacter lwoffii NCTC5866","-1","genome"
"Acinetobacter lwoffii FDAARGOS_557","-1","genome"
"Acinetobacter lwoffii FDAARGOS_551","-1","genome"
"Acinetobacter lwoffii 12CE1","-1","genome"
"Acinetobacter lwoffii ZS207","-1","genome"
"Acinetobacter indicus MMS9-2","-1","genome"
"Acinetobacter nosocomialis","106654","species"
